﻿industry,sub_sector,company,brand_or_cn_name,country_or_region,primary_china_city_focus,recruiting_url,roles_to_watch,benefit_or_filter_tags,notes,data_source,waiqi_id,waiqi_industry,waiqi_scale,waiqi_cities,waiqi_welfare,waiqi_position_count,waiqi_source_url,merge_status,official_website,verified_career_url,career_enrichment_status
金融/保险/咨询,金融业,野村国际（香港）有限公司,野村国际,,,,,,来自 waiqi 公司目录，仅作为候选公司线索；官网招聘入口待验证。,waiqi_candidate,39464,金融业,10000人以上,,,9,https://www.waiqi.com/company/detail?id=39464,added_from_waiqi,,,not_checked
科技/软件/云计算,IT/互联网/游戏,野村信息技术（上海）有限公司,野村信息技术（上海）有限公司,,上海市,,,,来自 waiqi 公司目录，仅作为候选公司线索；官网招聘入口待验证。,waiqi_candidate,18013,IT/互联网/游戏,100-499人,上海市,,0,https://www.waiqi.com/company/detail?id=18013,added_from_waiqi,,,not_checked
科技/软件/云计算,IT/互联网/游戏,野村综研（北京）系统集成有限公司,野村综研（北京）系统集成有限公司,,"北京市,上海市,大连市,杭州市",,,"绩效奖金,节日礼物,五险一金,年度旅游",来自 waiqi 公司目录，仅作为候选公司线索；官网招聘入口待验证。,waiqi_candidate,6920,IT/互联网/游戏,100-499人,"北京市,上海市,大连市,杭州市","绩效奖金,节日礼物,五险一金,年度旅游",0,https://www.waiqi.com/company/detail?id=6920,added_from_waiqi,,,not_checked
科技/软件/云计算,人工智能,业成科技（成都）有限公司,业成科技,,成都市,,,五险一金,来自 waiqi 公司目录，仅作为候选公司线索；官网招聘入口待验证。,waiqi_candidate,33777,人工智能,1000-4999人,成都市,五险一金,0,https://www.waiqi.com/company/detail?id=33777,added_from_waiqi,,,not_checked
能源/化工/环保,能源/化工/环保,液化空气（中国）投资有限公司,液化空气中国,,"上海市,杭州市,无锡市,常熟市,烟台市,日照市,合肥市,广州市,深圳市,北京市,天津市,青岛市,成都市,榆林市",,,"定期体检,五险一金,年底双薪,股票期权,带薪年假,交通补助,节日礼物",来自 waiqi 公司目录，仅作为候选公司线索；官网招聘入口待验证。,waiqi_candidate,14826,能源/化工/环保,1000-4999人,"上海市,杭州市,无锡市,常熟市,烟台市,日照市,合肥市,广州市,深圳市,北京市,天津市,青岛市,成都市,榆林市","定期体检,五险一金,年底双薪,股票期权,带薪年假,交通补助,节日礼物",81,https://www.waiqi.com/company/detail?id=14826,added_from_waiqi,,,not_checked
工业制造/自动化/材料,机械/制造业,一道新能源科技股份有限公司,一道新能源,,"北京市,上海市,武汉市,大连市,长沙市,广州市,长春市,鄂尔多斯市,福州市,贵阳市,合肥市,哈尔滨市,无锡市,乌鲁木齐市",,,"年度旅游,五险一金,节日礼物,定期体检,年底双薪,通讯补助,带薪年假,股票期权,绩效奖金",来自 waiqi 公司目录，仅作为候选公司线索；官网招聘入口待验证。,waiqi_candidate,4922,机械/制造业,1000-4999人,"北京市,上海市,武汉市,大连市,长沙市,广州市,长春市,鄂尔多斯市,福州市,贵阳市,合肥市,哈尔滨市,无锡市,乌鲁木齐市","年度旅游,五险一金,节日礼物,定期体检,年底双薪,通讯补助,带薪年假,股票期权,绩效奖金",0,https://www.waiqi.com/company/detail?id=4922,added_from_waiqi,,,not_checked
消费品/零售/FMCG,贸易/批发/零售,一汽丰田汽车销售有限公司,一汽丰田汽车销售有限公司,,,,,,来自 waiqi 公司目录，仅作为候选公司线索；官网招聘入口待验证。,waiqi_candidate,27672,贸易/批发/零售,500-999人,,,0,https://www.waiqi.com/company/detail?id=27672,added_from_waiqi,,,not_checked
金融/保险/咨询,金融业,伊伯利信息技术（上海）有限公司,伊伯利,,,,,,来自 waiqi 公司目录，仅作为候选公司线索；官网招聘入口待验证。,waiqi_candidate,38191,金融业,1000-4999人,,,1,https://www.waiqi.com/company/detail?id=38191,added_from_waiqi,,,not_checked
工业制造/自动化/材料,机械/制造业,伊顿（中国）投资有限公司,Eaton 伊顿,,"上海市,广州市,深圳市,东莞市,全国",,,"绩效奖金,带薪年假,五险一金,定期体检",来自 waiqi 公司目录，仅作为候选公司线索；官网招聘入口待验证。,waiqi_candidate,1346,机械/制造业,5000-9999人,"上海市,广州市,深圳市,东莞市,全国","绩效奖金,带薪年假,五险一金,定期体检",468,https://www.waiqi.com/company/detail?id=1346,added_from_waiqi,,https://www.eaton.com/us/en-us/company/careers.html,verified_career
工业制造/自动化/材料,机械/制造业,伊顿集团有限公司,伊顿集团,,,,,,来自 waiqi 公司目录，仅作为候选公司线索；官网招聘入口待验证。,waiqi_candidate,38079,机械/制造业,小于50人,,,16,https://www.waiqi.com/company/detail?id=38079,added_from_waiqi,,,not_checked
专业服务/咨询/人力资源,咨询,伊尔姆环境资源管理咨询(上海)有限公司,ERM,,,,,,来自 waiqi 公司目录，仅作为候选公司线索；官网招聘入口待验证。,waiqi_candidate,38464,咨询,小于50人,,,8,https://www.waiqi.com/company/detail?id=38464,added_from_waiqi,,https://www.erm.com/erm-careers/,verified_career
家具家居/耐用消费品,耐用消费品,伊莱克斯（中国）电器有限公司,伊莱克斯,,,,,,来自 waiqi 公司目录，仅作为候选公司线索；官网招聘入口待验证。,waiqi_candidate,36655,耐用消费品,10000人以上,,,27,https://www.waiqi.com/company/detail?id=36655,added_from_waiqi,,,not_checked
工业制造/自动化/材料,机械/制造业,伊莱克斯专业设备（上海）有限公司,伊莱克斯,,,,,,来自 waiqi 公司目录，仅作为候选公司线索；官网招聘入口待验证。,waiqi_candidate,39025,机械/制造业,1000-4999人,,,1,https://www.waiqi.com/company/detail?id=39025,added_from_waiqi,,,not_checked
物流/供应链/航运,交通/物流/仓储,伊罗奇国际贸易（上海）有限公司,伊罗奇国际贸易有限公司,,上海市,,,,来自 waiqi 公司目录，仅作为候选公司线索；官网招聘入口待验证。,waiqi_candidate,15918,交通/物流/仓储,小于50人,上海市,,0,https://www.waiqi.com/company/detail?id=15918,added_from_waiqi,,,not_checked
能源/化工/环保,能源/化工/环保,伊士曼（中国）投资管理有限公司,伊士曼,,上海市,,,"五险一金,午餐补助,年底双薪,带薪年假,定期体检",来自 waiqi 公司目录，仅作为候选公司线索；官网招聘入口待验证。,waiqi_candidate,17947,能源/化工/环保,10000人以上,上海市,"五险一金,午餐补助,年底双薪,带薪年假,定期体检",7,https://www.waiqi.com/company/detail?id=17947,added_from_waiqi,,,not_checked
消费品/零售/FMCG,快速消费品,伊索化妆品（上海）有限公司,伊索,,上海市,,,"五险一金,带薪年假",来自 waiqi 公司目录，仅作为候选公司线索；官网招聘入口待验证。,waiqi_candidate,39481,快速消费品,100-499人,上海市,"五险一金,带薪年假",0,https://www.waiqi.com/company/detail?id=39481,added_from_waiqi,,,not_checked
金融/保险/咨询,金融业,伊塔乌联合银行控股公司,伊塔乌联合银行,,上海市,,,五险一金,来自 waiqi 公司目录，仅作为候选公司线索；官网招聘入口待验证。,waiqi_candidate,28404,金融业,10000人以上,上海市,五险一金,0,https://www.waiqi.com/company/detail?id=28404,added_from_waiqi,,,not_checked
消费品/零售/FMCG,快速消费品,衣恋时装(上海)有限公司,衣恋,,,,,,来自 waiqi 公司目录，仅作为候选公司线索；官网招聘入口待验证。,waiqi_candidate,17197,快速消费品,1000-4999人,,,0,https://www.waiqi.com/company/detail?id=17197,added_from_waiqi,,,not_checked
